856,208500
1262,181500
920,223500
756,140000
1145,250000
796,143000
1686,307000
1107,200000
952,129900
991,118000
1040,129500
1175,345000
912,144000
1494,279500
1253,157000
832,132000
1004,149000
0,90000
1114,159000
1029,139000
1158,325300
637,139400
1777,230000
1040,129900
1060,154000
1566,256300
900,134800
1704,306000
1484,207500
520,68500
649,40000
1228,149350
1234,179900
1398,165500
1561,277500
1117,309000
1097,145000
1297,153000
1057,109000
0,82000
1088,160000
1350,170000
840,144000
938,130250
1150,141000
1752,319900
1434,239686
1656,249700
736,113000
955,127000
794,177000
816,114500
816,110000
1842,385000
384,130000
1425,180500
970,172500
860,196500
1410,438780
780,124900
1158,158000
530,101000
1370,202500
576,140000
1057,219500
1143,317000
1947,180000
1453,226000
747,80000
1304,225000
2223,244000
845,129500
832,185000
1086,144900
840,107400
462,91000
952,135750
672,127000
1768,136500
440,110000
896,193500
1237,153500
1563,245000
1065,126500
384,168500
1288,260000
684,174000
612,164500
1013,85000
990,123600
0,109900
1235,98600
876,163500
1214,133900
824,204750
680,185000
1588,214000
960,94750
458,83000
950,128950
1610,205000
741,178000
0,118964
1226,198900
1040,169500
1053,250000
641,100000
789,115000
793,115000
1844,190000
994,136900
384,180000
1264,383970
1809,217000
1028,259500
729,176000
1092,139000
1125,155000
1673,320000
728,163990
938,180000
732,100000
1080,136000
1199,153900
1362,181000
520,84500
1078,128000
672,87000
660,155000
1008,150000
924,226000
992,244000
1063,150750
1267,220000
1461,180000
1304,174000
1214,143000
1907,171000
1004,230000
928,231500
864,115000
1734,260000
910,166000
1490,204000
1728,125000
970,130000
715,105000
884,222500
1080,141000
896,115000
969,122000
1710,372402
825,190000
1602,235000
1200,125000
572,79000
0,109500
774,269500
991,254900
1392,320000
1232,162500
1572,412500
1541,220000
882,103200
1149,152000
644,127500
1617,190000
1582,325624
840,183500
1686,228000
720,128500
1080,215000
1064,239000
1362,163000
1606,184000
1202,243000
1151,211000
1052,172500
2216,501837
968,100000
